U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13
363.2441,NaN,NaN,178.3189,NaN,448.28695,72.99295,NaN,526.2351,NaN,NaN,37.4324,32.46335
363.79575,NaN,NaN,180.10745,NaN,448.98485,73.6313,NaN,526.2465,NaN,NaN,37.67245,32.7738
371.12345,NaN,NaN,180.71615,NaN,449.62275,73.8262,NaN,531.6452,NaN,NaN,37.77055,33.114
377.7429,NaN,NaN,181.28495,NaN,451.11395,74.2102,NaN,532.9789,NaN,NaN,37.94025,33.4092
378.66975,NaN,NaN,182.0006,NaN,451.97215,75.4402,NaN,533.476,NaN,NaN,38.2,33.6958
385.54715,NaN,NaN,182.85155,NaN,453.3057,75.74385,NaN,533.75865,NaN,NaN,38.4382,33.88785
387.3135,NaN,NaN,183.3839,NaN,454.12245,76.18235,NaN,534.99565,NaN,NaN,38.67205,34.0946
387.83315,NaN,NaN,184.06915,NaN,456.5914,76.66005,NaN,540.95745,NaN,NaN,38.8868,34.3795
388.3209,NaN,NaN,185.78245,NaN,472.4375,77.1736,NaN,541.77265,NaN,NaN,39.11615,34.65915
390.2346,NaN,NaN,187.6628,NaN,475.42625,77.53605,NaN,552.08075,NaN,NaN,39.37005,34.91335
391.20235,NaN,NaN,189.7127,NaN,486.8224,78.2998,NaN,552.0849,NaN,NaN,39.6275,35.1609
404.348,NaN,NaN,190.4495,NaN,486.86025,78.9144,NaN,552.093,NaN,NaN,39.8531,35.4128
411.70205,NaN,NaN,192.7338,NaN,487.6674,79.6686,NaN,552.1007,NaN,NaN,40.0964,35.8126
412.63945,NaN,NaN,193.8216,NaN,488.80545,79.798,NaN,552.10785,NaN,NaN,40.3311,36.10785
414.02585,NaN,NaN,194.4125,NaN,489.28505,80.1802,NaN,552.10935,NaN,NaN,40.80225,36.3623
415.9532,NaN,NaN,194.9562,NaN,496.6811,80.5547,NaN,552.14655,NaN,NaN,41.0626,36.6835
419.37295,NaN,NaN,195.5848,NaN,507.98555,81.3772,NaN,561.0647,NaN,NaN,41.3116,36.9051
420.35275,NaN,NaN,195.9168,NaN,511.9481,82.12375,NaN,569.13215,NaN,NaN,41.5487,37.1331
420.5326,NaN,NaN,197.03215,NaN,512.6971,82.58905,NaN,576.09,NaN,NaN,42.0487,37.34055
420.8759,NaN,NaN,198.3385,NaN,515.79345,83.3722,NaN,576.1005,NaN,NaN,42.3002,37.5458
421.2773,NaN,NaN,199.23815,NaN,522.1183,83.85325,NaN,577.53655,NaN,NaN,42.54525,37.7917
421.65375,NaN,NaN,203.28005,NaN,522.578,84.2526,NaN,577.57025,NaN,NaN,42.7683,38.007
422.1006,NaN,NaN,203.84205,NaN,522.9272,84.548,NaN,577.8864,NaN,NaN,43.0021,38.18085
422.63615,NaN,NaN,204.6872,NaN,523.47065,85.12195,NaN,578.1425,NaN,NaN,43.2178,38.4156
423.4944,NaN,NaN,205.78465,NaN,524.0595,85.5074,NaN,578.2241,NaN,NaN,43.4663,38.7497
424.20865,NaN,NaN,207.64375,NaN,524.3177,85.79935,NaN,579.87925,NaN,NaN,43.71195,39.0138
424.9328,NaN,NaN,207.85395,NaN,524.8397,86.076,NaN,582.0902,NaN,NaN,43.9707,39.3301
425.17075,NaN,NaN,207.9002,NaN,525.40015,86.55815,NaN,585.99365,NaN,NaN,44.2228,39.5385
425.63345,NaN,NaN,208.24405,NaN,526.12425,87.12045,NaN,590.14985,NaN,NaN,44.5039,40.07185
425.9667,NaN,NaN,208.67195,NaN,527.7737,87.78225,NaN,590.29585,NaN,NaN,44.73515,40.29155
431.9558,NaN,NaN,209.069,NaN,531.98605,88.18425,NaN,594.9845,NaN,NaN,44.9566,40.54655
436.3415,NaN,NaN,210.71605,NaN,532.59115,88.65425,NaN,600.02805,NaN,NaN,45.1756,40.7239
437.6446,NaN,NaN,211.3726,NaN,533.79845,90.00165,NaN,607.20535,NaN,NaN,45.42305,41.00455
438.16445,NaN,NaN,212.48155,NaN,540.97485,90.36325,NaN,617.57385,NaN,NaN,45.6629,41.24285
438.6016,NaN,NaN,213.1236,NaN,541.43775,90.96445,NaN,620.05985,NaN,NaN,45.93605,41.43855
438.78525,NaN,NaN,213.5917,NaN,546.92915,91.36865,NaN,623.26865,NaN,NaN,46.20415,41.74425
439.20555,NaN,NaN,214.2044,NaN,552.10345,91.75635,NaN,623.3316,NaN,NaN,46.42675,41.9755
440.2781,NaN,NaN,214.6884,NaN,561.19685,92.2477,NaN,623.3333,NaN,NaN,46.6736,42.1771
440.7294,NaN,NaN,215.4482,NaN,561.90895,92.5672,NaN,631.95865,NaN,NaN,46.9378,42.46585
441.5216,NaN,NaN,215.9531,NaN,565.82265,94.1269,NaN,639.3546,NaN,NaN,47.165,42.7351
442.1846,NaN,NaN,216.61415,NaN,576.3023,94.44475,NaN,639.376,NaN,NaN,47.3872,43.0252
442.73075,NaN,NaN,217.66205,NaN,577.5911,94.83615,NaN,643.9702,NaN,NaN,47.62325,43.4412
