U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
12.997,NaN,10.427,10.665,9.505,9.489,12.748,9.494,10.112,7.945,7.841,7.927,11.726,9.324,10.347,12.522,11.539,12.209,9.619,15.27,9.036,10.566,8.611,8.481,9.314,11.544,8.354,8.931,10.391,10.705,9.327,8.541,9.467,7.921,7.1,9.578,5.533,7.76,9.977,10.336,10.976,54.166,8.432,9.423,16.099,10.61,9.028,10.432,8.594,9.134,12.292,9.832,11.168,8.633,8.972,8.457,10.457,10.102,10.929,9.889,8.543,7.833,10.5,9.807,9.786,10.761,8.294,8.458,11.617,7.077,8.593,9.433,7.738,7.696,8.25,8.695,7.197,8.153,12.087,9.185
13.272,NaN,10.671,10.85,9.778,10.058,13.186,10.015,10.957,8.159,8.426,8.164,12.345,9.477,10.49,12.639,11.952,12.45,9.849,15.513,9.313,11.136,8.879,8.606,9.577,11.731,8.589,9.063,10.519,11.164,10.109,8.991,10.299,8.067,7.272,9.669,5.596,8.106,10.425,10.522,11.407,55.02,8.696,9.688,16.584,10.719,9.43,11.108,8.689,9.638,12.427,9.943,11.506,9.555,9.126,8.724,10.865,10.332,11.144,10.677,8.859,8.058,10.754,9.875,10.114,11.17,8.384,9.781,12.256,7.216,9.088,9.745,7.763,7.752,8.644,8.807,7.232,8.363,12.996,9.867
13.825,NaN,10.788,11.026,10.021,10.12,13.381,10.477,11.183,8.308,8.937,8.349,12.699,10.315,10.582,12.925,12.144,12.553,10.177,15.88,9.513,11.338,10.025,8.855,9.817,11.986,8.959,9.344,10.727,11.261,10.27,8.991,10.751,8.169,7.547,9.777,6.001,8.484,11.462,10.89,11.799,57.403,8.809,9.885,16.989,11.425,9.617,11.233,8.804,9.822,12.993,10.34,11.707,9.764,9.602,9.474,11.186,10.616,11.311,11.421,9.109,8.139,10.993,10.357,10.423,11.888,8.502,9.987,12.344,7.441,9.509,10.03,8.092,7.812,8.845,9.116,7.271,8.469,13.019,10.47
14.06,NaN,11.494,11.195,10.325,11.31,13.521,10.835,11.437,8.448,9.246,8.521,13.102,10.709,11.351,13.048,12.22,12.772,10.373,16.207,9.739,11.526,10.138,9.21,10.278,12.138,9.314,9.836,11.243,11.556,10.701,9.166,11.198,8.25,7.7,9.843,6.39,8.596,11.954,11.56,12.18,58.541,9.175,10.13,17.367,11.705,9.72,11.478,9.107,10.474,13.143,10.512,11.906,10.046,9.846,9.917,11.679,11.378,11.464,11.868,9.53,8.238,11.503,10.464,10.59,12.058,8.717,10.426,12.905,7.761,10.161,10.379,8.134,8.006,8.912,9.274,7.754,8.545,13.391,10.51
15.459,NaN,11.971,11.342,10.468,11.634,13.928,11.006,11.568,8.567,9.449,8.658,13.299,11.006,11.9,13.49,12.449,12.853,10.472,16.26,9.88,11.874,10.558,9.557,10.836,12.387,9.483,10.462,12.006,12.517,10.855,9.994,11.27,8.464,7.849,10.025,6.521,8.769,12.095,11.621,13.258,61.359,9.344,10.726,17.473,11.814,9.84,11.63,9.285,10.606,13.701,10.877,12.129,10.598,9.98,10.17,12.279,12.03,12.153,11.982,9.836,8.427,11.79,10.659,11.044,13.023,9.258,10.975,13.433,7.953,10.232,10.482,8.339,8.08,9.03,9.325,7.854,8.945,13.505,10.897
16.757,NaN,12.278,11.474,11.455,11.755,14.254,11.345,11.902,8.698,9.529,8.925,13.452,11.109,11.965,13.754,12.58,12.985,10.722,16.502,10.129,12.26,11.153,9.841,10.957,13.457,9.616,10.571,12.643,12.864,11.2,10.034,11.324,8.534,8.296,10.258,6.679,8.843,12.158,11.89,13.355,61.609,9.537,10.884,17.562,12.216,10.264,12.087,9.551,10.902,14.115,10.984,12.471,10.81,10.257,10.36,12.508,12.721,12.728,12.096,9.95,8.828,12.019,10.87,11.129,13.147,9.655,11.236,14.107,8.465,10.552,11.932,8.473,8.467,9.151,9.591,8.536,9.412,13.594,10.975
17.395,NaN,12.749,11.648,11.606,11.992,14.478,11.461,12.243,9.017,9.604,9.212,14.041,11.416,12.169,13.955,12.97,13.192,10.879,16.671,10.469,12.833,11.537,10.269,11.238,13.589,9.881,10.901,13.099,13.038,11.735,10.28,11.415,8.731,8.391,10.775,6.882,8.899,12.497,12.617,13.461,65.393,9.711,11.152,17.8,12.623,10.505,12.225,9.773,10.967,14.354,11.458,12.805,11.062,10.702,10.485,12.791,12.824,13.177,12.582,10.309,8.978,12.98,11.009,11.37,13.656,9.964,11.389,14.394,8.684,10.759,12.393,8.513,8.509,9.185,9.688,8.788,9.428,13.868,11.03
18.067,NaN,13.015,11.743,12.009,11.992,14.592,12.033,12.468,9.118,9.749,9.278,14.975,11.663,12.331,14.286,13.424,13.309,11.098,17.226,10.602,13.128,11.802,10.753,11.41,13.781,10.252,11.483,13.732,13.388,11.763,10.499,11.625,8.911,8.723,10.982,7.008,9.033,12.844,12.896,13.621,65.709,9.918,11.3,18.26,12.803,10.657,12.381,10.159,11.146,14.762,11.7,12.954,11.135,10.861,10.647,12.936,13.254,13.506,12.704,10.592,8.978,13.218,11.121,11.512,13.867,10.254,11.53,14.522,8.844,10.814,12.611,8.752,8.756,9.256,10.041,9.222,9.792,14.334,11.117
18.431,NaN,13.132,12.305,12.143,12.32,15.266,12.151,12.756,9.32,10.245,9.57,15.322,12.127,12.587,14.445,13.765,14.027,11.676,17.477,10.782,13.976,11.993,11.169,11.943,14.092,10.493,11.749,13.983,14.091,11.92,10.543,11.758,8.942,8.885,11.19,7.184,9.093,12.979,13.207,13.904,67.452,10.202,11.43,18.498,13.084,10.891,12.505,10.251,11.243,14.831,12.073,13.324,11.34,11.08,10.849,13.106,13.368,13.651,13.235,10.905,9.115,13.386,12.632,12.246,13.92,10.543,11.695,15.569,9.351,11.212,12.772,9.269,9.262,9.639,10.303,9.538,9.835,14.77,11.648
18.589,NaN,13.593,12.368,12.351,12.81,15.498,12.374,12.948,9.566,10.481,9.827,15.492,13.367,12.652,14.721,13.986,14.242,12.521,17.534,10.918,14.391,11.993,11.358,12.243,14.258,10.562,11.961,14.166,14.329,12.486,10.617,12.246,9.068,9.821,11.443,7.453,9.321,13.004,13.405,14.106,67.899,10.438,11.706,18.841,13.231,11.103,12.693,10.549,11.411,15.18,12.438,13.533,11.456,11.376,11.218,13.32,13.718,13.793,13.367,11.424,9.415,13.59,12.797,12.419,14.392,11.048,11.858,15.952,9.544,11.283,12.828,9.591,9.562,9.87,10.818,9.85,9.951,14.823,11.905
